,author_id,text,retweet_count,like_count,reply_count,cleaned_text,sentiment_label,bert_confidence,custom_score
10,1.26e+18,"Tren Harga Saham: MAPI UNVR ASII ICBP BBCA BBRI IHSG CPIN adro AMRT   DSSA BYAN  BREN jsmr elsa antm arto: 15 Desember 2008-08 Agustus 2025: +10326% v. 14,38%: secara umum JANGKA PANJANG mencetak BAGGER: observasi 16 saham: https://t.co/i5V21ju9j1",0,0,0,tren harga saham mapi unvr asii icbp bbca bbri ihsg cpin adro amrt dssa byan bren jsmr elsa antm arto desember 200808 agustus 2025 10326 1438 jangka mencetak bagger observasi saham,neutral,0.9988929629325867,0
11,1.26e+18,Tren Harga Saham (THS): arto v. DSSA: +ribuan persen secara jangka panjang (BAGGER): MAPI UNVR ASII ICBP BBCA BBRI IHSG CPIN   AMRT   DSSA BYAN  BREN jsmr elsa antm arto: Komodo CUAN BY JO 1-2-5: StuPa AkSi: https://t.co/I5psOs8K0J,0,0,0,tren harga saham ths arto dssa ribuan persen jangka bagger mapi unvr asii icbp bbca bbri ihsg cpin amrt dssa byan bren jsmr elsa antm arto komodo cuan 125 stupa aksi,positive,0.9977005124092102,1
12,238091066.0,BERITA POPULER: Update Harga Emas Antam (ANTM) dan Perhiasan hingga Ramalan Saham CUAN https://t.co/viGSkbJUZL via @InvestorID,0,0,0,berita populer update harga emas antam antm perhiasan ramalan saham cuan via,positive,0.9984599351882935,1
13,1.95e+18,"@refki_abrar Kalo berapa persennya gak tau, kandidatnya bukan CUAN aja, masih ada SSIA, DSSA, PTRO, ANTM. Dan yang masuk cuma dua kalo gak salah. Bobot saham Indonesia di MSCI juga gak besar jadi saham yang masuk gak bisa banyak. Dulu bobot saham Indonesia bisa 5% sekarang cuma 1%. Jauh bgt. https://t.co/whhPv2zmNo",1,4,0,kalo persennya gak tau kandidatnya cuan aja ssia dssa ptro antm masuk kalo gak salah bobot saham indonesia msci gak saham masuk gak bobot saham indonesia bgt,positive,0.5819987654685974,1
14,1.95e+18,"Bagger 2025 dibuka dengan PGEO dan ANTM. Disusul dengan CUAN dan BRPT. 

Lalu ada SSIA yang sampai puluhan porto saya share disini. 

BTW list bagger2 ini ya sudah jelas kita masih hold. Kita kan ga kaya kamu. Keluar masuk gajelas hasil 0 besar. 

Dan ada saham baru masuk list yaitu FILM. Happy bagger dan tetap HOLDDD !!!",2,60,0,bagger 2025 dibuka pgeo antm disusul cuan brpt ssia puluhan porto share btw list bagger2 hold kaya masuk gajelas hasil saham masuk list film happy bagger holddd,positive,0.9970376491546631,1
15,1.95e+18,"Gue pengen jual abis saham antm deh, diantara saham lain dia yang paling bikin dag dig dug serr walaupun dah dividen",0,0,0,gue pengen jual abis saham antm deh saham bikin dag dig dug serr dah dividen,negative,0.563180685043335,-1
16,1.95e+18,"Ditopang Lonjakan Saham ANTM hingga SSIA, Indeks Saham Lapis Dua Kinclong https://t.co/gkmm0QB3q4",0,0,0,ditopang lonjakan saham antm ssia indeks saham lapis kinclong,neutral,0.9976677298545837,0
17,1.95e+18,"3 Hot News Yang Paling Di Tunggu Trader &amp; Investor Saham.

#CTASaham
#Saham
#IDX
#trending
#IHSG
#TRUMP
#GDP
#MSCI
#bank
#BREN
#CUAN
#PTRO
#CDIA
#SSIA
#DSSA
#BRMS
#ANTM
#Barito
#tradingsaham
#trading
#VIPCTASaham
#AstrocycleCTASaham
#HOTS https://t.co/5JnybIE9nZ",0,1,0,hot news tunggu trader amp investor saham,neutral,0.9989179372787476,0
18,1.95e+18,"Balik Arah BlackRock di Saham-Saham Emas ANTM, MDKA, BRMS, UNTR Awal Agustus 2025 https://t.co/ATkkxGx8Is",0,0,0,arah blackrock sahamsaham emas antm mdka brms untr agustus 2025,neutral,0.9989664554595947,0
19,1.95e+18,Prospek Terbaru Saham Emiten Emas ANTM Usai Kantongi Sertifikat Hijau ICDX https://t.co/rulpNzU5dF,0,1,0,prospek terbaru saham emiten emas antm kantongi sertifikat hijau icdx,neutral,0.998969554901123,0
20,1.95e+18,"Saham kamu terdampak Danantara tidak? 

#TOBA #PGEO #GIAA #BKSL #ANTM #TPIA #KAEF #danantara #investasi #saham #infosaham #sahampemula #PinePick #QuickPick #QuickPickPinePick #InvestasiCerdasMu https://t.co/EyJNS7zmHs",0,3,0,saham terdampak danantara,neutral,0.9957613348960876,0
21,1.95e+18,"IHSG TECHNICAL VIEW (04/08)??

IHSG minggu lalu ditutup naik 0.71%, dan disertai dengan net buy asing ~278 Miliar. Saham yang paling banyak dibeli asing adalah TLKM, TOBA, UNVR, ANTM dan GOTO.",0,7,1,ihsg technical view 0408 ihsg minggu ditutup 071 disertai net buy asing 278 miliar saham dibeli asing tlkm toba unvr antm goto,neutral,0.9981933236122131,0
