,created_at,author_id,text,retweet_count,like_count,reply_count,cleaned_text,sentiment_label,bert_confidence,custom_score
13,2025-08-14 14:35:56+00:00,189034094,@profesor_saham 130 juta padahal tinggal dibeliin BBCA bisa jadi 100 juta,0,2,0,130 juta tinggal dibeliin bbca 100 juta,neutral,0.9990695118904114,0
14,2025-08-14 14:15:49+00:00,2471782698,@SobatBandar Rungkad BBCA Kalau diambil alih,0,0,0,rungkad bbca diambil alih,negative,0.949251651763916,-1
15,2025-08-14 13:56:24+00:00,1017478661413326848,"1. Masuk sekolah neraka itu
2. Ngga belajar bahasa asing lain selain bhs inggris dr sekolah
3. Ngga nabung saham bbca dr awal kerja😂 https://t.co/bDYOOkOiMr",1,1,0,masuk sekolah neraka ngga belajar bahasa asing bhs inggris sekolah ngga nabung saham bbca kerja,negative,0.9982109069824219,0
16,2025-08-14 13:54:22+00:00,595163548,"gak ikhlass gw klo BBCA diambil Danantara useless itu

alamat jual semua dahh BBCA, byeee https://t.co/HLXDyDIysN",0,0,0,gak ikhlass klo bbca diambil danantara useless alamat jual dahh bbca byeee,negative,0.9436476826667786,-1
17,2025-08-14 13:21:41+00:00,1110526239058456576,"1 pertanyaan dan 1 pernyataan. emang grup Djarum mau lepas $BBCA? soalnya kalo udah masuk ke tangan pemerintah jadi BUMN, biasanya sih nasibnya ikut template perusahaan plat merah lain, kinerja jeblok, birokrasi tebel, dan value ke investor ancur https://t.co/iwkub3DkTZ",0,0,1,pernyataan emang grup djarum lepas bbca kalo udah masuk tangan pemerintah bumn sih nasibnya template perusahaan plat merah kinerja jeblok birokrasi tebel value investor ancur,negative,0.9991216063499451,0
18,2025-08-14 13:05:55+00:00,1788492024595009536,@SobatBandar Emang mau ngelepas BBCA kwkwkw ?,0,0,0,emang ngelepas bbca kwkwkw,negative,0.9973856806755066,0
19,2025-08-14 12:42:58+00:00,1720665183188922368,"@amiajh @doktermarket IHSG capai ATH di 7.931 pada 14 Agt 2025 karena: 1) Inflow dana asing Rp4,7T minggu lalu, beli saham perbankan (BBRI, BBCA) &amp; telekom (TLKM) yg undervalued. 2) Rupiah kuat ke Rp16.139/USD, tarik investor. 3) Ekspektasi potong suku bunga BI &amp; Fed AS (25-50 bps Sept), didukung GDP",0,0,0,ihsg capai ath 7931 agt 2025 inflow dana asing rp47t minggu beli saham perbankan bbri bbca amp telekom tlkm undervalued rupiah kuat rp16139usd tarik investor ekspektasi potong suku bunga amp fed 2550 bps sept didukung gdp,neutral,0.9972084164619446,0
20,2025-08-14 12:19:32+00:00,1006840774502146049,"@kafiradikalis semua direkaysa, yg naik bukan saham blue chips. Saham2 blue chips masih jauh dari hrga puncaknya dulu (bbca, bmri, bbri).",0,2,0,direkaysa saham blue chips saham2 blue chips hrga puncaknya bbca bmri bbri,neutral,0.9987196922302246,0
21,2025-08-14 11:54:32+00:00,1136491372070879232,@SobatBandar BBCA downfall klo terjadi,0,0,0,bbca downfall klo,negative,0.810444176197052,-1
22,2025-08-14 11:11:58+00:00,1183050184554475522,@investorgabut Jangan coba sentuh bbca gue ya pemerintah 🫵🫵🫵,0,0,1,coba sentuh bbca gue pemerintah,neutral,0.9943926334381104,0
23,2025-08-14 11:06:22+00:00,1550824587805749249,"ekonomnya sih bener tapi ya lo ngotak aja lah gila, mana mau bbca diambil alih 51%? https://t.co/5i2LIJDc6j",0,0,0,ekonomnya sih bener ngotak aja gila bbca diambil alih,negative,0.9990594983100891,0
24,2025-08-14 10:57:01+00:00,488104694,"Kriteria solvabilitas adalah rasio-rasio keuangan yang digunakan untuk menilai kemampuan perusahaan dalam melunasi kewajibannya (utang) kepada pihak lain.

Saya menemukan pernyataan ini di sebuah dokumen prospektus. 

Jika bank BCA (BBCA) memakai kriteria itu, maka kita semua https://t.co/9woLJCyRSI",0,0,0,kriteria solvabilitas rasiorasio keuangan menilai kemampuan perusahaan melunasi kewajibannya utang menemukan pernyataan dokumen prospektus bank bca bbca memakai kriteria,neutral,0.9986650943756104,0
25,2025-08-14 09:48:20+00:00,1511936277402193924,"@investorgabut ekonom aneh, ambil alih 51% saham bbca kan bukan berarti danantara langsung punya CASH 700 trilliun, dapat dari mana angka itu, kecuali kalau semua dana nasabah mau dirampok dimasukkan danantara",0,1,0,ekonom aneh ambil alih saham bbca danantara langsung cash 700 trilliun angka kecuali dana nasabah dirampok dimasukkan danantara,neutral,0.9922754168510437,0
26,2025-08-14 07:29:43+00:00,1614206594195263489,@JunianDev @investorgabut 51% bbca mungkin seharga 800 T 🗿,0,0,0,bbca seharga 800,neutral,0.9218751788139343,0
27,2025-08-14 07:12:59+00:00,1236314589790269440,Deym enak kali yah punya saham bbca 5 juta lot,0,0,1,deym enak kali yah saham bbca juta lot,positive,0.9961307048797607,0
28,2025-08-14 07:09:49+00:00,1695285482861834240,pra IHSG 8K: IJO neh: smua saham neh berCUTE plus: portofolio WARUNG buka2an TEGAR saham BY JO ot C: 14 Agustus 2025: ADRO   AMRT   ARTO   ASRI   BBCA   BBRI   BLTA   BNII   BREN   BUMI   BYAN   DSSA   ELSA   EXCL   GOTO   GPSO   HERO   IMAS   INDY   JSMR   KAEF   KEJU   LAJU https://t.co/oJikVigipB,0,1,0,pra ihsg ijo neh smua saham neh bercute plus portofolio warung buka2an tegar saham agustus 2025 adro amrt arto asri bbca bbri blta bnii bren bumi byan dssa elsa excl goto gpso hero imas indy jsmr kaef keju laju,positive,0.9121463894844055,0
29,2025-08-14 04:09:22+00:00,247651184,Siap jual bbca kalian,0,1,0,jual bbca,negative,0.9977739453315735,-1
30,2025-08-14 04:03:58+00:00,1178443217575899136,@rzlhmdfz saatnya WD BBCA,0,6,0,bbca,negative,0.9247058629989624,0
31,2025-08-14 03:19:59+00:00,1260798424393211904,"walaupun ihsg hari ini ath
investor fundamental bluechip belum tentu happy tuh,
beberapa saham nya mungkin boro2 ath, balik modal aja belum misal yg haka pucuk bmri bbca bbri itu belum balik tuh. saya ga bilang kenaikan ini semu, naik ya emang naik tapi jagoan2 nya udah beda sama",6,58,5,ihsg ath investor fundamental bluechip happy tuh saham nya boro2 ath modal aja haka pucuk bmri bbca bbri tuh bilang kenaikan semu emang jagoan2 nya udah beda,positive,0.9409430623054504,0
